marque_proposee;source;produits_potentiels;niveau_confiance;variantes;nom_normalise
"Castel";"Produits REAL_CONFIRMED / REAL_REVIEW";"15";"Fiable";"";"Castel"
"Talisker";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Talisker"
"Ardbeg";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Ardbeg"
"Nikka";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Nikka"
"Jack Daniel's";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Jack Daniel's"
"Remy Martin";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Remy Martin"
"Jameson";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Jameson"
"Absolut";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Absolut"
"Lagavulin";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Lagavulin"
"Yamazaki";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Yamazaki"
"Crown Royal";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Crown Royal"
"Glenfiddich";"Produits REAL_CONFIRMED / REAL_REVIEW";"7";"Fiable";"";"Glenfiddich"
"Dewar's";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Dewar's"
"Bushmills";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Bushmills"
"Ararat";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Ararat"
"Khvanchkara";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Khvanchkara"
"Cîroc";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Cîroc"
"Beluga";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Beluga"
"Smirnoff";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Smirnoff"
"Baileys";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Baileys"
"Campari";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Campari"
"Grey Goose";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Grey Goose"
"Laphroaig";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Laphroaig"
"Hibiki";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Hibiki"
"Canadian Club";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Canadian Club"
"Ballantine's";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Ballantine's"
"Teacher's";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Teacher's"
"Kahlúa";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Kahlúa"
"Johnnie Walker";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Johnnie Walker"
"Hennessy";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Hennessy"
"Don Julio";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Don Julio"
"Jägermeister";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Jägermeister"
"Chivas Regal";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Chivas Regal"
"Grand Marnier";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Grand Marnier"
"Pernod";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Pernod"
"Macallan";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Macallan"
"Aperol";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Aperol"
"Ricard";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Ricard"
"Ouzo";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Ouzo"
"Cointreau";"Produits REAL_CONFIRMED / REAL_REVIEW";"6";"Fiable";"";"Cointreau"
