chemin;dossier;nom_fichier;utilise;produits_associes;nb_utilisations;taille_octets;niveau_confiance
"/images/hero-wine-cellar.jpg";"/images";"hero-wine-cellar.jpg";"non";"";"0";"4700751";"A classer"
"/images/products/alcohol/placeholder.jpg";"products/alcohol";"placeholder.jpg";"non";"";"0";"2610900";"A classer"
"/images/products/charcuterie/placeholder.jpg";"products/charcuterie";"placeholder.jpg";"non";"";"0";"2610900";"A classer"
"/images/products/fish/placeholder.jpg";"products/fish";"placeholder.jpg";"non";"";"0";"2610900";"A classer"
"/images/products/photo de couverture imersive /ChatGPT_Image_11_août_2026_02_35_05.jpg";"products/photo de couverture imersive ";"ChatGPT_Image_11_août_2026_02_35_05.jpg";"non";"";"0";"567594";"A classer"
"/images/products/platters/placeholder.jpg";"products/platters";"placeholder.jpg";"non";"";"0";"2610900";"A classer"
"/images/salmon-plateaux/plateau-01.webp";"salmon-plateaux";"plateau-01.webp";"non";"";"0";"171388";"A classer"
"/images/salmon-plateaux/plateau-02.webp";"salmon-plateaux";"plateau-02.webp";"non";"";"0";"145562";"A classer"
"/images/salmon-plateaux/plateau-03.webp";"salmon-plateaux";"plateau-03.webp";"non";"";"0";"237086";"A classer"
"/images/terminal-3/brand/favicon/apple-touch-icon-180x180.png";"terminal-3/brand/favicon";"apple-touch-icon-180x180.png";"non";"";"0";"5360";"A classer"
"/images/terminal-3/brand/favicon/favicon-32x32.png";"terminal-3/brand/favicon";"favicon-32x32.png";"non";"";"0";"780";"A classer"
"/images/terminal-3/brand/favicon/icon-512x512.png";"terminal-3/brand/favicon";"icon-512x512.png";"non";"";"0";"21894";"A classer"
"/images/terminal-3/brand/logo/terminal-3-logo-sombre-01.png";"terminal-3/brand/logo";"terminal-3-logo-sombre-01.png";"non";"";"0";"69000";"A classer"
"/images/terminal-3/couvertures/86b04762-a218-45d1-b1b4-5efbf99a8317.png";"terminal-3/couvertures";"86b04762-a218-45d1-b1b4-5efbf99a8317.png";"non";"";"0";"1637102";"A classer"
"/images/terminal-3/couvertures/charcuterie.webp";"terminal-3/couvertures";"charcuterie.webp";"non";"";"0";"182908";"A classer"
"/images/terminal-3/couvertures/inspirations.webp";"terminal-3/couvertures";"inspirations.webp";"non";"";"0";"135476";"A classer"
"/images/terminal-3/couvertures/plateaux.webp";"terminal-3/couvertures";"plateaux.webp";"non";"";"0";"188760";"A classer"
"/images/terminal-3/couvertures/poissons.webp";"terminal-3/couvertures";"poissons.webp";"non";"";"0";"316984";"A classer"
"/images/terminal-3/couvertures/promotions.webp";"terminal-3/couvertures";"promotions.webp";"non";"";"0";"105312";"A classer"
"/images/terminal-3/couvertures/spiritueux.webp";"terminal-3/couvertures";"spiritueux.webp";"non";"";"0";"122678";"A classer"
"/images/terminal-3/couvertures/store.webp";"terminal-3/couvertures";"store.webp";"non";"";"0";"82438";"A classer"
"/images/terminal-3/couvertures/vins.webp";"terminal-3/couvertures";"vins.webp";"non";"";"0";"132512";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-01.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-01.webp";"non";"";"0";"143274";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-02.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-02.webp";"non";"";"0";"138934";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-03.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-03.webp";"non";"";"0";"39402";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-04.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-04.webp";"non";"";"0";"37166";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-05.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-05.webp";"non";"";"0";"79466";"A classer"
