id;nom;slug;marque;categorie;groupe;origine;raison;fichier_source;niveau_confiance;preuve;image;doublon;prix;sku
"70000000-0000-0000-0000-000070000009";"Rouge de Galilée 2027";"shiloh-rouge-de-galilee-2027-9";"";"Vins";"DUPLICATE_OR_INVALID";"seed-to-supabase";"millésime/année impossible: 2027 | marque non détectée";"seed-to-supabase";"Invalide";"millésime/année impossible: 2027 | marque non détectée";"/images/terminal-3/wines/castel/petit-castel-2020.png";"";"88.00";""
"70000000-0000-0000-0000-000070000022";"Dewar's";"dewar-s-dewar-s-34";"Dewar's";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=RHUM image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=RHUM image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-07.webp";"";"123.00";""
"70000000-0000-0000-0000-000070000023";"Bushmills Blanco";"bushmills-bushmills-blanco-35";"Bushmills";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=TEQUILA image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=TEQUILA image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-08.webp";"";"124.00";""
"70000000-0000-0000-0000-000070000024";"Petit Castel 2034";"galil-mountain-petit-castel-2034-36";"Castel";"Vins";"DUPLICATE_OR_INVALID";"seed-to-supabase";"millésime/année impossible: 2034";"seed-to-supabase";"Invalide";"millésime/année impossible: 2034";"/images/terminal-3/wines/other-brands/wine-other-brand-09.webp";"";"115.00";""
"70000000-0000-0000-0000-000070000025";"Ararat Floral";"ararat-ararat-floral-37";"Ararat";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=GIN image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=GIN image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-10.webp";"";"126.00";""
"70000000-0000-0000-0000-000070000026";"Khvanchkara Coffee";"khvanchkara-khvanchkara-coffee-38";"Khvanchkara";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=LIQUEUR image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=LIQUEUR image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-11.webp";"";"127.00";""
"70000000-0000-0000-0000-000070000027";"Merlot 2037";"shiloh-merlot-2037-39";"";"Vins";"DUPLICATE_OR_INVALID";"seed-to-supabase";"millésime/année impossible: 2037 | marque non détectée";"seed-to-supabase";"Invalide";"millésime/année impossible: 2037 | marque non détectée";"/images/terminal-3/wines/other-brands/wine-other-brand-12.webp";"";"118.00";""
"70000000-0000-0000-0000-000070000028";"Cîroc Distiller's Edition";"ciroc-ciroc-distiller-s-edition-40";"Cîroc";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=WHISKY image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=WHISKY image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-13.webp";"";"129.00";""
"70000000-0000-0000-0000-000070000029";"Beluga";"beluga-beluga-41";"Beluga";"Spiritueux";"REAL_REVIEW";"seed-to-supabase";"image non spiritueux | sous-catégorie incohérente: DB=COGNAC image=Autres vins";"seed-to-supabase";"Probable";"image non spiritueux | sous-catégorie incohérente: DB=COGNAC image=Autres vins";"/images/terminal-3/wines/other-brands/wine-other-brand-14.webp";"";"130.00";""
"70000000-0000-0000-0000-00007000002a";"Syrah 2020";"recanati-syrah-2020-42";"";"Vins";"DEMO_GENERATED";"seed-to-supabase";"marque non détectée";"seed-to-supabase";"Généré";"marque non détectée";"/images/terminal-3/wines/other-brands/wine-other-brand-15.webp";"";"121.00";""
