id;ancien_nom;nouveau_nom_propose;marque;categorie;sous_categorie;millesime;age;volume;poids;ancien_slug;nouveau_slug_propose;sku;prix;stock;source;photo_actuelle;nouvelle_photo_proposee;niveau_confiance;problemes
"70000000-0000-0000-0000-000070000009";"Rouge de Galilée 2027";"Rouge de Galilée 2027";"";"Vins";"Castel";"2027";"";"";"";"shiloh-rouge-de-galilee-2027-9";"rouge-de-galilee-2027";"";"88.00";"";"Supabase";"/images/terminal-3/wines/castel/petit-castel-2020.png";"";"Incertain";"marque non détectée"
"70000000-0000-0000-0000-000070000022";"Dewar's";"Dewar's — Dewar's";"Dewar's";"Spiritueux";"Autres vins";"";"";"";"";"dewar-s-dewar-s-34";"dewar-s-dewar-s";"";"123.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-07.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=RHUM image=Autres vins"
"70000000-0000-0000-0000-000070000023";"Bushmills Blanco";"Bushmills — Bushmills Blanco";"Bushmills";"Spiritueux";"Autres vins";"";"";"";"";"bushmills-bushmills-blanco-35";"bushmills-bushmills-blanco";"";"124.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-08.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=TEQUILA image=Autres vins"
"70000000-0000-0000-0000-000070000024";"Petit Castel 2034";"Castel — Petit Castel 2034";"Castel";"Vins";"Autres vins";"2034";"";"";"";"galil-mountain-petit-castel-2034-36";"castel-petit-castel-2034";"";"115.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-09.webp";"";"Certain";""
"70000000-0000-0000-0000-000070000025";"Ararat Floral";"Ararat — Ararat Floral";"Ararat";"Spiritueux";"Autres vins";"";"";"";"";"ararat-ararat-floral-37";"ararat-ararat-floral";"";"126.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-10.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=GIN image=Autres vins"
"70000000-0000-0000-0000-000070000026";"Khvanchkara Coffee";"Khvanchkara — Khvanchkara Coffee";"Khvanchkara";"Spiritueux";"Autres vins";"";"";"";"";"khvanchkara-khvanchkara-coffee-38";"khvanchkara-khvanchkara-coffee";"";"127.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-11.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=LIQUEUR image=Autres vins"
"70000000-0000-0000-0000-000070000027";"Merlot 2037";"Merlot 2037";"";"Vins";"Autres vins";"2037";"";"";"";"shiloh-merlot-2037-39";"merlot-2037";"";"118.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-12.webp";"";"Incertain";"marque non détectée"
"70000000-0000-0000-0000-000070000028";"Cîroc Distiller's Edition";"Cîroc — Cîroc Distiller's Edition";"Cîroc";"Spiritueux";"Autres vins";"";"";"";"";"ciroc-ciroc-distiller-s-edition-40";"ciroc-ciroc-distiller-s-edition";"";"129.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-13.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=WHISKY image=Autres vins"
"70000000-0000-0000-0000-000070000029";"Beluga";"Beluga — Beluga";"Beluga";"Spiritueux";"Autres vins";"";"";"";"";"beluga-beluga-41";"beluga-beluga";"";"130.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-14.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=COGNAC image=Autres vins"
"70000000-0000-0000-0000-00007000002a";"Syrah 2020";"Syrah 2020";"";"Vins";"Autres vins";"2020";"";"";"";"recanati-syrah-2020-42";"syrah-2020";"";"121.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-15.webp";"";"Incertain";"marque non détectée"
"70000000-0000-0000-0000-00007000002b";"Smirnoff Extra Añejo";"Smirnoff — Smirnoff Extra Añejo";"Smirnoff";"Spiritueux";"Autres vins";"";"";"";"";"smirnoff-smirnoff-extra-anejo-43";"smirnoff-smirnoff-extra-anejo";"";"132.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-16.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=TEQUILA image=Autres vins"
"70000000-0000-0000-0000-00007000002c";"Baileys";"Baileys — Baileys";"Baileys";"Spiritueux";"Autres vins";"";"";"";"";"baileys-baileys-44";"baileys-baileys";"";"133.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-17.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=VODKA image=Autres vins"
"70000000-0000-0000-0000-00007000002d";"Rouge de Galilée 2023";"Rouge de Galilée 2023";"";"Vins";"Autres vins";"2023";"";"";"";"domaine-du-castel-rouge-de-galilee-2023-45";"rouge-de-galilee-2023";"";"124.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-18.webp";"";"Incertain";"marque non détectée"
"70000000-0000-0000-0000-000070000031";"Campari V.S.O.P";"Campari — Campari V.S.O.P";"Campari";"Spiritueux";"Autres vins";"";"";"";"";"campari-campari-v-s-o-p-49";"campari-campari-v-s-o-p";"";"138.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-22.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=COGNAC image=Autres vins"
"70000000-0000-0000-0000-000070000049";"Grey Goose V.S.O.P";"Grey Goose — Grey Goose V.S.O.P";"Grey Goose";"Spiritueux";"Autres vins";"";"";"";"";"grey-goose-grey-goose-v-s-o-p-73";"grey-goose-grey-goose-v-s-o-p";"";"162.00";"";"Supabase";"/images/terminal-3/wines/other-brands/wine-other-brand-46.webp";"";"Incertain";"image non spiritueux, sous-catégorie incohérente: DB=COGNAC image=Autres vins"
