chemin;fichier;type_image;produit_propose;marque_proposee;categorie_proposee;sous_categorie_proposee;niveau_confiance;produit_existant;nouveau_produit_necessaire;action
"/images/hero-wine-cellar.jpg";"hero-wine-cellar.jpg";"produit";"hero wine cellar";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/products/alcohol/placeholder.jpg";"placeholder.jpg";"produit";"placeholder";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/products/charcuterie/placeholder.jpg";"placeholder.jpg";"produit";"placeholder";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/products/fish/placeholder.jpg";"placeholder.jpg";"produit";"placeholder";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/products/photo de couverture imersive /ChatGPT_Image_11_août_2026_02_35_05.jpg";"ChatGPT_Image_11_août_2026_02_35_05.jpg";"generique";"ChatGPT_Image_11_août_2026_02_35_";"";"";"";"Impossible à identifier";"";"Non";"Utiliser en CMS"
"/images/products/platters/placeholder.jpg";"placeholder.jpg";"platter";"placeholder";"";"Plateaux";"Mixte";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/salmon-plateaux/plateau-01.webp";"plateau-01.webp";"platter";"plateau";"";"Plateaux";"Saumon";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/salmon-plateaux/plateau-02.webp";"plateau-02.webp";"platter";"plateau";"";"Plateaux";"Saumon";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/salmon-plateaux/plateau-03.webp";"plateau-03.webp";"platter";"plateau";"";"Plateaux";"Saumon";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/brand/favicon/apple-touch-icon-180x180.png";"apple-touch-icon-180x180.png";"brand";"apple touch icon 180x";"";"";"";"Impossible à identifier";"";"Non";"Utiliser en CMS"
"/images/terminal-3/brand/favicon/favicon-32x32.png";"favicon-32x32.png";"brand";"favicon 32x";"";"";"";"Impossible à identifier";"";"Non";"Utiliser en CMS"
"/images/terminal-3/brand/favicon/icon-512x512.png";"icon-512x512.png";"brand";"icon 512x";"";"";"";"Impossible à identifier";"";"Non";"Utiliser en CMS"
"/images/terminal-3/brand/logo/terminal-3-logo-sombre-01.png";"terminal-3-logo-sombre-01.png";"brand";"terminal 3 logo sombre";"";"Brand";"Logo";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/86b04762-a218-45d1-b1b4-5efbf99a8317.png";"86b04762-a218-45d1-b1b4-5efbf99a8317.png";"couverture";"86b04762 a218 45d1 b1b4 5efbf99a";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/charcuterie.webp";"charcuterie.webp";"couverture";"charcuterie";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/inspirations.webp";"inspirations.webp";"couverture";"inspirations";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/plateaux.webp";"plateaux.webp";"couverture";"plateaux";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/poissons.webp";"poissons.webp";"couverture";"poissons";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/promotions.webp";"promotions.webp";"couverture";"promotions";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/spiritueux.webp";"spiritueux.webp";"couverture";"spiritueux";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
